2045 TSE ETF NEXT NOTES S&P Singapore REIT (NR)ETN（ETF）,,,,,
Date(日付)
Open: Opening price (始値)
High: High price (高値)
Low: Low price (安値)
Close: Closing price (終値)
Vol: Trading volume (出来高)
AdjClose: Adjusted closing price (終値調整値)

Date,Open,High,Low,Close,Vol,AdjClose
"2017-01-04","9340","9340","9270","9270","6","9270"
"2017-01-05","9260","9340","9250","9260","22","9260"
"2017-01-06","9300","9380","9300","9380","69","9380"
"2017-01-10","9380","9390","9320","9370","465","9370"
"2017-01-11","9400","9520","9400","9490","233","9490"
"2017-01-12","9450","9550","9450","9550","542","9550"
"2017-01-13","9480","9480","9480","9480","10","9480"
"2017-01-16","9320","9320","9300","9300","4","9300"
"2017-01-23","9450","9450","9350","9350","19","9350"
"2017-01-25","9350","9350","9330","9330","24","9330"
"2017-01-27","9450","9450","9450","9450","20","9450"
"2017-01-30","9450","9450","9450","9450","25","9450"
"2017-01-31","9450","9460","9360","9360","35","9360"
"2017-02-01","9420","9420","9420","9420","10","9420"
"2017-02-03","9380","9500","9380","9500","17","9500"
"2017-02-06","9450","9520","9420","9520","569","9520"
"2017-02-07","9390","9470","9390","9470","2","9470"
"2017-02-08","9420","9500","9390","9500","204","9500"
"2017-02-09","9480","9500","9460","9500","5","9500"
"2017-02-10","9500","9630","9500","9630","348","9630"
"2017-02-13","9630","9630","9630","9630","32","9630"
"2017-02-14","9630","9640","9630","9640","42","9640"
"2017-02-15","9620","9670","9620","9620","153","9620"
"2017-02-16","9620","9620","9580","9580","16","9580"
"2017-02-17","9590","9620","9530","9540","284","9540"
"2017-02-20","9580","9580","9580","9580","1","9580"
"2017-02-21","9570","9570","9550","9550","58","9550"
"2017-02-22","9600","9600","9560","9600","47","9600"
"2017-02-23","9620","9650","9620","9650","3","9650"
"2017-02-24","9600","9600","9600","9600","39","9600"
"2017-02-27","9610","9610","9510","9510","197","9510"
"2017-02-28","9600","9600","9550","9550","106","9550"
"2017-03-01","9600","9670","9600","9650","197","9650"
"2017-03-02","9650","9690","9640","9680","16","9680"
"2017-03-03","9640","9640","9640","9640","50","9640"
"2017-03-06","9640","9640","9600","9630","21900","9630"
"2017-03-07","9650","9650","9650","9650","1","9650"
"2017-03-08","9610","9610","9560","9610","316","9610"
"2017-03-09","9550","9570","9550","9550","173","9550"
"2017-03-10","9570","9670","9570","9620","11","9620"
"2017-03-13","9660","9750","9660","9720","5513","9720"
"2017-03-14","9800","9800","9750","9760","21","9760"
"2017-03-15","9740","9740","9700","9700","11","9700"
"2017-03-16","9770","9770","9680","9680","3","9680"
"2017-03-21","9750","9750","9640","9640","522","9640"
"2017-03-22","9600","9600","9600","9600","19","9600"
"2017-03-23","9510","9620","9510","9620","813","9620"
"2017-03-27","9510","9560","9510","9560","434","9560"
"2017-03-28","9610","9690","9560","9670","34","9670"
"2017-03-29","9640","9660","9640","9660","26","9660"
"2017-03-30","9740","9780","9700","9700","72","9700"
"2017-03-31","9790","9800","9770","9770","594","9770"
"2017-04-03","9870","9870","9810","9810","30","9810"
"2017-04-05","9800","9800","9700","9700","146","9700"
"2017-04-06","9700","9700","9700","9700","10","9700"
"2017-04-10","9700","9730","9700","9730","29","9730"
"2017-04-11","9700","9700","9650","9650","182","9650"
"2017-04-13","9550","9600","9550","9600","620","9600"
"2017-04-14","9620","9620","9610","9620","6315","9620"
"2017-04-18","9750","9750","9750","9750","20","9750"
"2017-04-19","9700","9700","9700","9700","5","9700"
"2017-04-20","9610","9640","9610","9640","10","9640"
"2017-04-21","9670","9670","9660","9660","96","9660"
"2017-04-24","9790","9820","9790","9820","107","9820"
"2017-04-25","9780","9790","9780","9790","16","9790"
"2017-04-26","9850","9940","9850","9940","56","9940"
"2017-04-27","9930","10030","9930","10030","103","10030"
"2017-04-28","9910","9910","9910","9910","12","9910"
"2017-05-01","9940","9940","9940","9940","110","9940"
"2017-05-02","9970","9990","9970","9970","61","9970"
"2017-05-08","9990","10030","9990","10020","111","10020"
"2017-05-09","10020","10020","10020","10020","6","10020"
"2017-05-11","10100","10130","10100","10120","8","10120"
"2017-05-12","10070","10070","10070","10070","250","10070"
"2017-05-15","10100","10170","10090","10090","251","10090"
"2017-05-16","10180","10180","10150","10160","257","10160"
"2017-05-17","10160","10160","10160","10160","1","10160"
"2017-05-18","9940","10110","9910","10110","9","10110"
"2017-05-22","10130","10160","10130","10160","3","10160"
"2017-05-23","10160","10160","10160","10160","1","10160"
"2017-05-24","10150","10250","10150","10250","470","10250"
"2017-05-25","10250","10250","10250","10250","352","10250"
"2017-05-29","10200","10200","10140","10150","127","10150"
"2017-05-30","10110","10110","10110","10110","20","10110"
"2017-05-31","10110","10110","10110","10110","10","10110"
"2017-06-02","10230","10310","10230","10310","497","10310"
"2017-06-05","10230","10230","10220","10220","2","10220"
"2017-06-06","10230","10230","10200","10200","12","10200"
"2017-06-07","10140","10140","10140","10140","1","10140"
"2017-06-08","10300","10300","10300","10300","10","10300"
"2017-06-09","10300","10300","10300","10300","1","10300"
"2017-06-12","10190","10230","10160","10230","21","10230"
"2017-06-14","10290","10290","10290","10290","11","10290"
"2017-06-15","10190","10190","10190","10190","1","10190"
"2017-06-16","10340","10350","10340","10350","56","10350"
"2017-06-19","10340","10390","10330","10370","98","10370"
"2017-06-20","10480","10480","10420","10420","30","10420"
"2017-06-21","10410","10410","10410","10410","1","10410"
"2017-06-22","10320","10320","10300","10300","108","10300"
"2017-06-26","10340","10440","10330","10440","4","10440"
"2017-06-27","10440","10490","10350","10460","736","10460"
"2017-06-28","10500","10500","10430","10450","1025","10450"
"2017-06-29","10450","10670","10450","10550","568","10550"
"2017-06-30","10630","10690","10470","10530","3400","10530"
"2017-07-03","10730","10730","10710","10710","103","10710"
"2017-07-04","10550","10550","10550","10550","210","10550"
"2017-07-05","10550","10740","10550","10740","774","10740"
"2017-07-06","10610","10640","10610","10640","32","10640"
"2017-07-07","10790","10790","10620","10620","955","10620"
"2017-07-10","10750","10750","10700","10750","101","10750"
"2017-07-11","10750","10750","10750","10750","4","10750"
"2017-07-12","10730","10730","10730","10730","6","10730"
"2017-07-13","10750","10750","10630","10630","33","10630"
"2017-07-14","10740","10740","10740","10740","1","10740"
"2017-07-18","10710","10710","10710","10710","3","10710"
"2017-07-19","10710","10790","10700","10790","110","10790"
"2017-07-21","10760","10850","10750","10830","1219","10830"
"2017-07-24","10950","10950","10800","10800","187","10800"
"2017-07-25","10950","10950","10810","10810","552","10810"
"2017-07-26","10820","10990","10820","10990","1063","10990"
"2017-07-27","10880","10930","10880","10920","2702","10920"
"2017-07-28","10870","10870","10850","10850","24","10850"
"2017-07-31","10780","10870","10780","10850","511","10850"
"2017-08-01","10750","10800","10700","10700","11","10700"
"2017-08-02","10650","10700","10650","10700","87","10700"
"2017-08-03","10710","10730","10700","10700","445","10700"
"2017-08-04","10790","10790","10700","10700","105","10700"
"2017-08-07","10730","10730","10730","10730","2","10730"
"2017-08-08","10730","10730","10730","10730","2","10730"
"2017-08-09","10650","10650","10650","10650","50","10650"
"2017-08-10","10650","10700","10650","10680","211","10680"
"2017-08-14","10690","10770","10690","10770","251","10770"
"2017-08-15","10790","10790","10660","10790","3","10790"
"2017-08-16","10690","10690","10690","10690","100","10690"
"2017-08-18","10610","10750","10600","10660","186","10660"
"2017-08-21","10630","10630","10630","10630","55","10630"
"2017-08-22","10590","10590","10590","10590","2","10590"
"2017-08-23","10690","10690","10690","10690","1","10690"
"2017-08-24","10610","10620","10610","10620","104","10620"
"2017-08-25","10630","10630","10630","10630","7","10630"
"2017-08-30","10690","10740","10690","10740","101","10740"
"2017-09-04","10850","10850","10750","10750","18","10750"
"2017-09-05","10730","10730","10730","10730","40","10730"
"2017-09-06","10620","10620","10620","10620","9","10620"
"2017-09-08","10650","10700","10650","10700","550","10700"
"2017-09-11","10700","10750","10670","10750","135","10750"
"2017-09-12","10800","10850","10800","10850","201","10850"
"2017-09-14","10850","10850","10840","10840","822","10840"
"2017-09-15","10840","10890","10840","10890","494","10890"
"2017-09-19","10920","11030","10920","11020","425","11020"
"2017-09-20","10980","10980","10980","10980","10","10980"
"2017-09-21","10980","10980","10980","10980","99","10980"
"2017-09-22","11100","11100","10860","10870","610","10870"
"2017-09-25","10930","10970","10930","10970","21","10970"
"2017-09-27","10900","10980","10900","10980","753","10980"
"2017-09-28","11000","11000","10950","10950","101","10950"
"2017-09-29","10890","10890","10890","10890","1","10890"
"2017-10-02","10970","10970","10970","10970","10","10970"
"2017-10-03","11100","11100","10950","10980","178","10980"
"2017-10-04","10960","11090","10960","11090","6","11090"
"2017-10-05","11080","11080","11040","11040","12","11040"
"2017-10-10","10990","11050","10990","11050","31","11050"
"2017-10-11","11050","11120","11050","11120","317","11120"
"2017-10-16","11150","11190","11150","11190","2","11190"
"2017-10-18","11150","11150","11150","11150","5","11150"
"2017-10-19","11130","11210","11130","11210","94","11210"
"2017-10-20","11180","11260","11180","11260","5","11260"
"2017-10-23","11260","11350","11260","11350","20","11350"
"2017-10-24","11270","11350","11270","11350","129","11350"
"2017-10-25","11370","11370","11370","11370","111","11370"
"2017-10-27","11310","11310","11260","11260","286","11260"
"2017-11-01","11400","11400","11360","11380","90","11380"
"2017-11-02","11490","11490","11440","11450","280","11450"
"2017-11-06","11450","11570","11450","11570","105","11570"
"2017-11-07","11460","11460","11460","11460","10","11460"
"2017-11-08","11460","11460","11460","11460","1","11460"
"2017-11-09","11510","11510","11510","11510","24","11510"
"2017-11-13","11420","11540","11420","11540","10","11540"
"2017-11-17","11500","11500","11450","11450","66","11450"
"2017-11-20","11420","11420","11330","11330","13","11330"
"2017-11-21","11400","11510","11400","11510","220","11510"
"2017-11-22","11470","11470","11400","11400","11","11400"
"2017-11-24","11290","11340","11290","11330","22","11330"
"2017-11-27","11370","11490","11340","11340","42","11340"
"2017-11-28","11340","11340","11340","11340","10","11340"
"2017-11-29","11450","11450","11450","11450","10","11450"
"2017-12-01","11530","11590","11530","11570","9","11570"
"2017-12-05","11600","11690","11550","11550","256","11550"
"2017-12-06","11700","11700","11490","11490","105","11490"
"2017-12-11","11680","11710","11680","11710","91","11710"
"2017-12-12","11710","11750","11710","11750","236","11750"
"2017-12-14","11790","11800","11790","11800","11","11800"
"2017-12-18","11800","11800","11800","11800","10","11800"
"2017-12-19","11830","12060","11830","11980","61","11980"
"2017-12-20","11880","11900","11880","11880","346","11880"
"2017-12-21","11920","11920","11920","11920","2","11920"
"2017-12-22","12030","12030","11900","11900","11","11900"
"2017-12-25","11910","11910","11900","11900","16","11900"
"2017-12-26","12040","12040","11880","12030","259","12030"
"2017-12-27","12030","12030","12030","12030","4","12030"
"2017-12-29","12030","12030","12030","12030","3","12030"