CONTENT,CLASS
+447935454150 lovely girl talk to me xxx﻿,1
I always end up coming back to this song<br />﻿,0
"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",1
Cool﻿,0
Hello I&#39;am from Palastine﻿,1
Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿,0
Go check out my rapping video called Four Wheels please ❤️﻿,1
Almost 1 billion﻿,0
Aslamu Lykum... From Pakistan﻿,1
Eminem is idol for very people in España and Mexico or Latinoamerica﻿,0
Help me get 50 subs please ﻿,1
i love song :)﻿,0
"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",1
The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,0
The boyfriend was Charlie from the TV show LOST ﻿,0
"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿",1
Take a look at this video on YouTube:﻿,1
Check out our Channel for nice Beats!!﻿,1
Rihanna and Eminem together are unstoppable.﻿,0
Check out this playlist on YouTube:﻿,1
This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,0
like please﻿,1
"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿",0
OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,0
"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",1
Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,1
Check out this playlist on YouTube:﻿,1
HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿,1
"You exactly who u want to be,watching your favourite rappers on tv﻿",0
Rihanna is absolutely gorgeous in this video.﻿,0
Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,1
"Don&#39;t love someone soo much, love the way u lie..﻿",0
one of the BEST SONGS in music history﻿,0
Check out this playlist on YouTube:﻿,1
Check out this video on YouTube:﻿,1
Check out this video on YouTube:﻿,1
No-I hate The Way U LIe!!﻿,0
Fuck Eminem. Bieber is the best &lt;3﻿,0
Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿,1
Check out this playlist on YouTube: ﻿,1
Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,1
Check out this video on YouTube:﻿,1
Check out this video on YouTube<br /><br /><br />﻿,1
CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿,1
Check out this playlist on YouTube:﻿,1
I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿,1
Love😘❤💖﻿,0
"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",0
plese subscribe to me﻿,1
Check out this video on YouTube:﻿,1
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",1
this is the 2nd most best song when im gone by m&amp;m﻿,0
Check out this video on YouTube:﻿,1
"WE GO FOR 1,000,000,000 FOR EMINEM﻿",0
Eminem and Rihanna sing the song very well.﻿,0
Subscribe me Secret videos :D﻿,1
Check out this video on YouTube:﻿,1
Check out this video on YouTube:but I&#39;m not Rhinnah﻿,1
Subscribe to me for clean Eminem!,1
" Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it ",1
LOVE THE WAY YOU LIE ..&quot;﻿,0
Check out this video on YouTube:﻿,1
This guy win dollars sleeping... m m m he loves the planet its full of RETARDS,1
Check out our cover of this song!,1
Check out this video on YouTube:﻿,1
goot﻿,0
2015 but Im still listening to this!﻿,0
"How is this the most watched Eminem video, it beats not afraid? ﻿",0
Check out my channel for funny skits! Thanks!,1
hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,1
Check out this video on YouTube:﻿,1
"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",1
CHECK OUT Eminem - Rap God LYRIC VIDEO,1
Love this song﻿,0
"Rihana, Love Me. :(﻿",0
like this comment then type 1337,1
Is that Charlie from lost?<br />﻿,0
who the fuck cheats on megan fox﻿,0
that is megan fox﻿,0
I love music﻿,0
like this comment then type 1337,1
❤❤❤❤❤❤❤﻿,0
"hot,hot﻿",0
Check out this video on YouTube:﻿,1
"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1
this fucking song like a&#39;n oreo the only white part is the good 1﻿,0
"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",0
"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1
Check Out The New Hot Video By Dante B Called Riled Up,1
Check Out The New Hot Video By Dante B Called Riled Up,1
"Still listening,still same pleasure﻿",0
▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌,1
I love you!❤✨﻿,0
2010? The time past so fast ..﻿,0
"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",1
#2015 FUCK YEAH﻿,0
eminem is a ginius stop!﻿,0
The rap: cool     Rihanna: STTUUPID﻿,0
Just gonna stand there and hear me cry ..﻿,0
Love﻿,0
Feels and emotions in this song...God damn﻿,0
all u should go check out j rants vi about eminem,1
MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿,0
"Check out this video on YouTube: <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Eminem"">#Eminem</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23Lovethewayyoulie"">#Lovethewayyoulie</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23RapGod"">#RapGod</a> <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23King"">#King</a> ﻿",1
"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1
best song﻿,0
 subscribe to my feed,1
"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1
Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :),1
  Check out my SEXY VIDEO :*,1
  Check out my SEXY VIDEO :*,1
Is that Charlie from lost?﻿,0
Anyone else notice that Megan Fox is in this video?﻿,0
Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!,1
Check Out The New Hot Video By Dante B Called Riled Up,1
Check Out The New Hot Video By Dante B Called Riled Up,1
"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1
"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",1
WATCH MY VIDEOS AND SUBSCRIBE,1
:D subscribe to me for daily vines,1
LOVE IT!!!!!!!﻿,0
Hay dakota u earned a subscribee,1
"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",1
Check Out The New Hot Video By Dante B Called Riled Up,1
I hate rap and I like this song﻿,0
Love the way you lie - Driveshaft﻿,0
2010:(﻿,0
"1,000,000 VIEWS NEAR﻿",0
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",1
this song is NICE﻿,0
"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",1
Sick Music for sick females﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1
LOVE TROP FORT VOTRE  clip﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble",1
Eminem et Rihana trop belle chanson﻿,0
this song is better then monster by eminem﻿,0
He is good boy!!!<br />I am krean I like to eminem~!~﻿,0
it is wonderful﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1
Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,1
watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,1
Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿,1
awesome song ever﻿,0
love﻿,0
No long paragraph just check out my song called &quot;Fire&quot;.,1
Check out this video on YouTube:﻿,1
"Check out this video on YouTube: <a href=""http://www.youtube.com/user/jlimvuth"">http://www.youtube.com/user/jlimvuth</a> ... Eminem ft Rihanna - Love the way you lie﻿",1
"do you guys know, there&#39;s a part two of this song! :D﻿",0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",1
"Hey, it&#39;s Charlie from Lost﻿",0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",1
Check out this video on YouTube:﻿,1
"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",0
watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!,1
"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿",0
5 years and i still dont get the music video help someone?﻿,0
Please check out my New Song (Music Video) AD - Don&#39;t Play,1
Tell us the title so i can like and subscribe your music fgw please,1
This video is kinda close to 1 million  views <br />﻿,0
Fuck you Eminem﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke.",1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1
2008-2010 were the years for pop﻿,0
sorry but eminmem is a worthless wife beating bastard﻿,0
  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,1
so spousal abusue cool that&#39;s great﻿,0
she is megan fox?because she is very similar﻿,0
"Holy crap. 800,000,000 views?!﻿",0
eminem - RIHANNA﻿,0
LOVE THIS SONG!!!﻿,0
What nicei⛺♥♥♥♥﻿,0
I like this song very much﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",1
I love it and my mom to﻿,0
Who is watching in 2015 like﻿,0
Please check out my New Song (MUSIC VIDEO) AD - Dont Play,1
amazing song﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor.",1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?",1
check out my Eminem &amp; Kid Cudi M a s h up /watch?v=XYTcq5NzMuA,1
I like it﻿,0
"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1
"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1
"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",1
"love the way you lie featuring rhianna, hes an awesome rapper!!! shes an awesome singer!!!﻿",0
Eminem is my insperasen and fav﻿,0
e.e....everyone could check out my channel.. dundundunnn,1
"Every collaboration between them, we know it will be number 1 ﻿",0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?",1
good music﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1
if you need youtube subscriber mail hermann buchmair on fb,1
is it bad that my realtionship is just like this lol﻿,0
This video deserves <b>1B</b> views!!!﻿,0
2015 and more....﻿,0
best song ever (y)﻿,0
I could hear this for years ;3﻿,0
Who is still watching in 2015﻿,0
I wish that guy wasn&#39;t so protective geeze﻿,0
super rihanna﻿,0
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬,1
"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿,0
fav.﻿,0
"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ",1
Check out this video on YouTube:﻿,1
Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿,0
I love your songs eminem your the rap god﻿,0
SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,1
I cried this song bringing back some hard memories﻿,0
subcribe to us an we will subscribe back,1
song is bad﻿,0
CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!,1
check out fantasy music    right here -------&gt; the1fantasy  good music man.,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",1
Charlie from LOST?﻿,0
"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿",0
Check out my channel im 15 year old rapper!,1
is that Megan fox﻿,0
wtf. subscribe my channel thanx ;),1
Hey check out my channel!!!! Please,1
So he&#39;s admitting he killed his girlfriend???﻿,0
check out you tube keithlinscotts one word keithlinscotts you tube .com,1
Check out my mummy chanel!,1
i want to smack this year boy in to forever﻿,0
